,code,pinyin_abbr,fund_name,fund_type,pinyin
182,000248,HTFZZZYXFETFLJA,汇添富中证主要消费ETF联接A,指数型-股票,HUITIANFUZHONGZHENGZHUYAOXIAOFEIETFLIANJIEA
183,000251,GYJRDCHHA,工银金融地产混合A,混合型-偏股,GONGYINJINRONGDICHANHUNHEA
184,000252,JSCCJXXYCZZQA,景顺长城景兴信用纯债债券A,债券型-长债,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANA
185,000253,JSCCJXXYCZZQC,景顺长城景兴信用纯债债券C,债券型-长债,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANC
186,000254,CCZQSYDKZQA,长城增强收益定开债券A,债券型-混合一级,CHANGCHENGZENGQIANGSHOUYIDINGKAIZHAIQUANA
187,000255,CCZQSYDKZQC,长城增强收益定开债券C,债券型-混合一级,CHANGCHENGZENGQIANGSHOUYIDINGKAIZHAIQUANC
188,000259,NYQJSYHH,农银区间收益混合,混合型-灵活,NONGYINQUJIANSHOUYIHUNHE
189,000263,GYXXCYHHA,工银信息产业混合A,混合型-偏股,GONGYINXINXICHANYEHUNHEA
190,000264,BSNXZZHHA,博时内需增长混合A,混合型-灵活,BOSHINEIXUZENGZHANGHUNHEA
191,000265,YFDHJTL1NDKZA,易方达恒久添利1年定开债A,债券型-长债,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIA
192,000266,YFDHJTL1NDKZC,易方达恒久添利1年定开债C,债券型-长债,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIC
193,000267,GFJLYNDKZA,广发集利一年定开债A,债券型-长债,GUANGFAJILIYINIANDINGKAIZHAIA
194,000268,GFJLYNDKZC,广发集利一年定开债C,债券型-长债,GUANGFAJILIYINIANDINGKAIZHAIC
195,000270,JXLHPZHHA,建信灵活配置混合A,混合型-灵活,JIANXINLINGHUOPEIZHIHUNHEA
196,000271,ZYDKZQA,中邮定开债券A,债券型-长债,ZHONGYOUDINGKAIZHAIQUANA
197,000272,ZYDKZQC,中邮定开债券C,债券型-长债,ZHONGYOUDINGKAIZHAIQUANC
198,000273,HRYDAXLHPZHHA,华润元大安鑫灵活配置混合A,混合型-灵活,HUARUNYUANDAANXINLINGHUOPEIZHIHUNHEA
199,000274,GFYTZGSYZQDIIA,广发亚太中高收益债(QDII)A,QDII-纯债,GUANGFAYATAIZHONGGAOSHOUYIZHAIQDIIA
200,000275,GFYTZGSYZMYXHQDIIA,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,GUANGFAYATAIZHONGGAOSHOUYIZHAIMEIYUANXIANHUIQDIIA
201,000277,BSSYXDQZFZQ,博时双月薪定期支付债券,债券型-长债,BOSHISHUANGYUEXINDINGQIZHIFUZHAIQUAN
202,000279,HSHLYXHH,华商红利优选混合,混合型-灵活,HUASHANGHONGLIYOUXUANHUNHE
203,000286,YHXYJJHZQA,银华信用季季红债券A,债券型-混合一级,YINHUAXINYONGJIJIHONGZHAIQUANA
204,000289,PHFTDKZA,鹏华丰泰定开债A,债券型-混合一级,PENGHUAFENGTAIDINGKAIZHAIA
205,000290,PHQQGSYZQDII,鹏华全球高收益债(QDII),QDII-纯债,PENGHUAQUANQIUGAOSHOUYIZHAIQDII
206,000294,HASTYXHHA,华安生态优先混合A,混合型-偏股,HUAANSHENGTAIYOUXIANHUNHEA
207,000295,PHFSDQKFZQA,鹏华丰实定期开放债券A,债券型-混合一级,PENGHUAFENGSHIDINGQIKAIFANGZHAIQUANA
208,000296,PHFSDQKFZQB,鹏华丰实定期开放债券B,债券型-混合一级,PENGHUAFENGSHIDINGQIKAIFANGZHAIQUANB
209,000297,PHKZZZQA,鹏华可转债债券A,债券型-混合二级,PENGHUAKEZHUANZHAIZHAIQUANA
210,000298,ZHCZZQA,中海纯债债券A,债券型-长债,ZHONGHAICHUNZHAIZHAIQUANA
211,000299,ZHCZZQC,中海纯债债券C,债券型-长债,ZHONGHAICHUNZHAIZHAIQUANC
212,000300,DBDLHBA,德邦德利货币A,货币型-普通货币,DEBANGDELIHUOBIA
213,000301,DBDLHBB,德邦德利货币B,货币型-普通货币,DEBANGDELIHUOBIB
214,000305,ZYZGDJZQA,中银中高等级债券A,债券型-长债,ZHONGYINZHONGGAODENGJIZHAIQUANA
215,000306,THHLZQA,天弘弘利债券A,债券型-混合二级,TIANHONGHONGLIZHAIQUANA
